"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
4.041577077E1,6.496103041E1,2.537832034E1,1.024795834E0,1.316971240E0,3.516908569E2,4.748651384E0,5.199462873E0
4.141575170E1,6.496104369E1,2.537831577E1,6.521721277E-1,1.368183484E0,3.516908569E2,4.748651370E0,5.105553327E0
4.241573262E1,6.496105272E1,2.537831239E1,6.946834503E-1,1.115635992E0,3.505059509E2,4.748651393E0,5.064247009E0
4.341571534E1,6.496106568E1,2.537830728E1,5.211481182E-1,1.224104532E0,3.505059509E2,4.748651364E0,5.425576792E0
4.441569746E1,6.496108135E1,2.537830110E1,6.055600625E-1,1.410549509E0,3.505059509E2,4.748651354E0,5.056747448E0
4.541567945E1,6.496109556E1,2.537829512E1,8.745290684E-1,1.415685872E0,3.492864075E2,4.748651358E0,5.075255867E0
4.641566229E1,6.496111233E1,2.537828763E1,5.475858748E-1,1.564744305E0,3.492864075E2,4.748651325E0,5.301616743E0
4.741564596E1,6.496112107E1,2.537828373E1,2.977626659E-1,1.392087930E0,3.492864075E2,4.748651231E0,6.823616466E0
4.841562927E1,6.496113826E1,2.537827541E1,8.351140004E-1,1.503626827E0,3.478702698E2,4.748651226E0,6.561701177E0
4.941561282E1,6.496115041E1,2.537826925E1,6.351495096E-1,1.226010963E0,3.478702698E2,4.748651275E0,6.644335562E0
5.041559780E1,6.496116459E1,2.537826206E1,1.172633953E-1,1.392635712E0,3.478702698E2,4.748651245E0,6.364558272E0
5.141558158E1,6.496118991E1,2.537824922E1,8.638747688E-2,1.984131189E0,3.478702698E2,4.748651195E0,5.611526641E0
5.241556692E1,6.496119265E1,2.537824783E1,6.996934209E-1,1.212222692E0,3.478702698E2,4.748651290E0,6.445079292E0
5.341555023E1,6.496120829E1,2.537823990E1,8.606055267E-1,1.369512981E0,3.478702698E2,4.748651267E0,5.932028777E0
5.441553521E1,6.496121733E1,2.537823531E1,-1.059063512E0,1.098688735E0,3.478702698E2,4.748651333E0,5.814118991E0
5.541552114E1,6.496123407E1,2.537822683E1,-1.498958375E-2,1.275834079E0,3.478702698E2,4.748651302E0,5.722077754E0
5.641550648E1,6.496125305E1,2.537821720E1,-6.071654521E-2,1.547250432E0,3.478702698E2,4.748651276E0,5.580483378E0
5.741549134E1,6.496126557E1,2.537821085E1,5.531807505E-1,1.295635383E0,3.478702698E2,4.748651284E0,6.203400682E0
5.841547668E1,6.496128786E1,2.537819955E1,2.800392546E-1,1.913453159E0,3.478702698E2,4.748651216E0,5.592673263E0
5.941546309E1,6.496130310E1,2.537826257E1,-1.535203019E-1,1.392686621E0,3.508352051E2,4.748651266E0,6.243617124E0
6.041544843E1,6.496131910E1,2.537825763E1,1.235164050E-2,1.274016537E0,3.508352051E2,4.748651296E0,6.277697554E0
6.141543424E1,6.496133191E1,2.537825516E1,-5.130753014E-1,1.310941103E0,3.508352051E2,4.748651284E0,6.278476678E0
