"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
7.754040833E-1,1.516626676E0,8.805840991E-1,-2.211253238E-1
7.854420833E-1,1.264978887E0,2.174988806E-1,-8.800708598E-1
7.954800833E-1,1.620447645E0,-7.941898799E-1,-6.162421507E-1
8.055170833E-1,2.185029937E0,-1.783703952E0,6.089337158E-1
8.155550833E-1,2.303733824E0,-2.206706150E0,1.371531090E0
8.255920833E-1,2.074796035E0,-1.920129580E0,9.537451923E-1
8.356300833E-1,1.660687452E0,-1.189449233E0,-2.585106665E-1
8.456680833E-1,1.016113495E0,-3.237201311E-1,-1.406831900E0
8.557050833E-1,6.173849890E-1,1.452313882E-1,-3.249190149E0
8.657430833E-1,4.077571915E-1,4.335236782E-1,-4.785830237E0
8.757810833E-1,5.097300012E-1,6.787266666E-1,-5.330522933E0
8.858180833E-1,8.612983739E-1,9.564084528E-1,-4.234617310E0
8.958560833E-1,7.832124634E-1,1.060272106E0,-1.486869172E0
9.058940833E-1,4.856726557E-1,8.132465404E-1,-1.840937376E-1
9.159310833E-1,4.127290790E-1,5.003630541E-1,2.052898943E-1
9.259690833E-1,4.522220506E-1,1.770402414E-1,-5.224563199E-1
9.360060833E-1,5.847297513E-1,-9.421881706E-2,-1.847004447E0
9.460440833E-1,4.051177584E-1,-2.915294547E-1,-2.851343257E0
9.560820833E-1,7.341237724E-2,-1.505444607E-1,-2.978773382E0
9.661190833E-1,-3.224461690E-2,1.764786163E-1,-2.270811222E0
9.761570833E-1,8.278254032E-2,2.952025294E-1,-1.380354538E0
9.861950833E-1,3.994772418E-1,3.124947926E-1,-4.814860493E-1
9.962320833E-1,6.411911966E-1,3.318113619E-1,-9.119142115E-2
1.006270083E0,7.173668218E-1,5.272992763E-1,-1.641219878E-1
1.016308083E0,6.367152992E-1,5.492114246E-1,-7.961943054E-1
1.026345083E0,6.464510594E-1,4.369586250E-1,-2.643137941E0
1.036383083E0,3.609442368E-1,8.714815924E-1,-2.283352330E0
1.046420083E0,1.679945987E-1,1.357075603E0,-2.127472578E0
1.056458083E0,9.228967443E-2,1.268283294E0,-2.113407685E0
1.066496083E0,4.189386758E-1,1.920568267E0,-3.645101613E-1
1.076533083E0,8.518571672E-1,1.920643989E0,1.691997099E-1
1.086571083E0,9.196280777E-1,1.704535576E0,-1.093873715E-1
1.096609083E0,7.690265335E-1,1.540582865E0,-7.302535003E-1
1.106646083E0,3.285432800E-1,1.635755655E0,-4.538105929E-1
1.116684083E0,-8.214889218E-1,1.265350623E0,7.395488191E-1
1.126722083E0,-1.870400180E0,9.882238841E-1,2.194307422E0
1.136759083E0,-8.525674577E-1,6.718272445E-1,1.649524679E0
1.146797083E0,8.669017607E-1,5.442763746E-1,9.775977391E-1
1.156834083E0,9.495531772E-1,1.572340555E0,1.666787413E0
1.166872083E0,7.365745597E-1,2.123580963E0,1.582214456E0
1.176910083E0,4.136279422E-1,2.125944116E0,6.239265615E-1
1.186947083E0,-4.072231214E-1,2.238834846E0,2.396896487E-1
1.196985083E0,-1.078282480E0,2.223363698E0,7.166329962E-1
1.207023083E0,-1.039164754E0,1.521650458E0,1.795222090E0
1.217060083E0,-3.861903578E-1,3.429552779E-1,3.208921545E0
1.227098083E0,4.945121109E-1,-1.107594792E0,4.226982601E0
1.237135083E0,1.005380492E0,-2.013274702E0,4.629694376E0
1.247173083E0,1.008370612E0,-2.051028711E0,3.695928535E0
1.257211083E0,4.883189959E-1,-1.164105792E0,2.142516294E0
1.267248083E0,-3.174551684E-1,-1.906277087E-1,5.861944789E-1
1.277286083E0,-9.904043108E-1,6.339568752E-1,-8.238598216E-1
1.287324083E0,-1.387188764E0,1.237650901E0,-1.806739351E0
1.297361083E0,-1.592149460E0,1.428062555E0,-2.089268040E0
1.307399083E0,-1.577709322E0,1.008633298E0,-2.010710113E0
1.317437083E0,-1.599243302E0,1.022566921E0,-2.017709815E0
1.327474083E0,-9.163949329E-1,-9.458879963E-1,-6.103171670E-1
1.337512083E0,-7.587503444E-1,-1.772077349E0,-3.857408166E-2
1.347549083E0,-8.059967970E-1,-1.858758812E0,6.987773538E-2
1.357587083E0,-7.597046831E-1,-1.196001476E0,-1.630788445E-2
1.367625083E0,-7.923654024E-1,-3.771030173E-1,-9.681118011E-2
1.377662083E0,-8.510698396E-1,4.675375164E-2,-2.601718605E-2
1.387700083E0,-7.538900656E-1,-2.509470007E-1,3.263389528E-1
1.397738083E0,-4.872478591E-1,-1.015973015E0,4.908094347E-1
1.407774208E0,-3.653321702E-1,-1.613030159E0,1.778822404E-1
1.417812208E0,-4.667644048E-1,-1.543846488E0,-4.325074321E-1
1.427850208E0,-5.342012931E-1,-1.060378818E0,-1.144217657E0
1.437887208E0,-5.262065779E-1,-5.976751944E-1,-1.830109502E0
1.447925208E0,-5.848770281E-1,-3.031424636E-1,-2.347479914E0
1.457962208E0,-7.442297345E-1,-9.882232994E-2,-2.445093332E0
1.468000208E0,-8.731788929E-1,-1.500278592E-1,-2.221033291E0
1.478038208E0,-8.693340562E-1,-4.477198407E-1,-1.956358489E0
1.488075208E0,-8.603829923E-1,-7.423572367E-1,-1.795033810E0
1.498113208E0,-8.340006477E-1,-8.721826735E-1,-1.641887630E0
1.508151208E0,-8.413282321E-1,-8.859481886E-1,-1.635534046E0
1.518188208E0,-4.167790433E-1,-2.204259968E-1,-1.730041423E0
1.528226208E0,-2.730667982E-1,2.834186357E-1,-1.590999312E0
1.538263208E0,-2.898974420E-1,8.787131363E-1,-1.099594046E0
1.548301208E0,-3.031392111E-1,1.161533894E0,-8.267009836E-1
1.558339208E0,-2.747570090E-1,1.158276995E0,-4.191822124E-1
1.568376208E0,-2.456315893E-1,1.013173661E0,-1.242030466E-1
1.578414208E0,-2.258741034E-1,8.275830361E-1,-5.795175433E-2
1.588452208E0,-3.547988863E-1,7.448455194E-1,4.793079615E-2
1.598489208E0,-3.056147760E-1,4.855861169E-1,3.542102909E-1
1.608527208E0,1.194568799E-2,1.252953064E-1,8.381457388E-1
1.618564208E0,2.127979385E-1,-6.997216791E-2,1.067940145E0
1.628602208E0,1.285439829E-1,1.201006401E-1,1.016194040E0
1.638640208E0,-1.054893435E-2,6.092567745E-1,7.794046104E-1
1.648677208E0,-1.171619391E-1,1.329289634E0,4.964619380E-1
1.658715208E0,-1.195733491E-1,1.723831680E0,7.463152170E-1
1.668753208E0,1.829276201E-1,1.541107652E0,1.558626203E0
1.678790208E0,5.189930141E-1,1.162528506E0,2.329000373E0
1.688828208E0,6.228934316E-1,9.761672178E-1,2.749601120E0
1.698865208E0,4.370742537E-1,1.018596953E0,2.674444519E0
1.708903208E0,3.145420856E-1,1.112017041E0,2.000552915E0
1.718941208E0,3.478175300E-1,1.274087825E0,1.661847686E0
1.728978208E0,5.537248538E-1,1.188896525E0,2.130519562E0
1.739016208E0,9.575154039E-1,5.985797587E-1,3.179741015E0
1.749054208E0,1.380641929E0,-3.948341140E-1,4.371870173E0
1.759091208E0,1.554317828E0,-1.472588225E0,4.569828828E0
1.769129208E0,1.194586816E0,-1.976161255E0,3.297899210E0
1.779166208E0,6.512767665E-1,-1.711437337E0,1.630101982E0
1.789204208E0,3.260925292E-1,-1.186333690E0,4.870438278E-1
1.799242208E0,5.240795801E-1,-9.197471416E-1,3.757420778E-2
1.809279208E0,1.138172514E0,-8.328195101E-1,1.785844910E-1
1.819317208E0,1.752103698E0,-8.006279567E-1,2.918433040E-1
1.829355208E0,1.731793833E0,-8.224237454E-1,3.036213505E-1
1.839392208E0,1.935943667E0,-5.995492271E-1,5.701503038E-2
1.849430208E0,2.116017590E0,-1.459485492E-1,-4.154896957E-1
1.859467208E0,2.032347150E0,-1.574927071E-1,-3.901309061E-1
1.869505208E0,1.814112251E0,-6.004549608E-1,-2.355118132E-1
1.879543208E0,1.544682640E0,-1.294377956E0,-3.852379560E-2
1.889580208E0,1.245369226E0,-1.684430510E0,-1.133611393E-1
1.899618208E0,1.061090131E0,-1.855767669E0,-4.083859134E-1
1.909656208E0,1.008975214E0,-1.809921113E0,-9.439136839E-1
1.919693208E0,9.203906277E-1,-1.529231373E0,-1.557815779E0
1.929731208E0,8.394915486E-1,-1.242535957E0,-2.079707842E0
1.939768208E0,7.558059789E-1,-1.033677507E0,-2.283286257E0
1.949806208E0,7.182158375E-1,-9.967877162E-1,-2.266846225E0
1.959844208E0,7.265296280E-1,-1.077933036E0,-2.055399213E0
1.969881208E0,6.461534362E-1,-1.023573811E0,-1.583668658E0
1.979919208E0,4.790885447E-1,-1.168222817E0,-1.467621893E0
1.989957208E0,2.892116002E-1,-1.349592044E0,-1.857009618E0
1.999994208E0,1.907940255E-1,-1.173308725E0,-2.358742236E0
2.010032208E0,2.362380739E-1,-7.336928326E-1,-2.566690859E0
2.020069208E0,2.935474750E-1,-2.598432469E-1,-2.606443155E0
2.030107208E0,3.518935875E-1,8.066584826E-2,-2.557796659E0
2.040145208E0,3.819253622E-1,2.590208361E-1,-2.274549932E0
2.050182208E0,2.880556422E-1,2.163399625E-1,-1.994629101E0
2.060220208E0,4.025871931E-2,1.744519714E-1,-1.996675626E0
2.070258208E0,-2.704229249E-1,1.862168616E-1,-2.020748613E0
2.080295208E0,-2.929691854E-1,-3.079289943E-2,-1.863837411E0
2.090333208E0,-2.656790605E-1,4.466103315E-3,-1.879848842E0
2.100370208E0,7.730640359E-2,1.025952458E-2,-8.020935613E-1
2.110408208E0,2.240659616E-1,2.969549400E-1,-2.778304517E-1
2.120446208E0,1.899882792E-1,5.958745444E-1,1.400490010E-1
2.130483208E0,6.106426377E-2,8.586177179E-1,3.617105144E-1
2.140521208E0,-1.209298118E-1,1.008964835E0,3.562761122E-1
2.150559208E0,-3.624868785E-1,1.185349896E0,2.166165358E-1
2.160596208E0,-5.521494312E-1,1.431933997E0,1.034085935E-1
2.170634208E0,-5.962452944E-1,1.597493230E0,1.581128043E-1
2.180671208E0,-5.723184879E-1,1.511316673E0,5.504779315E-1
2.190709208E0,-4.803148885E-1,1.136581486E0,1.348686603E0
2.200747208E0,-5.154880103E-1,7.892615542E-1,1.898533035E0
2.210784208E0,-5.895819902E-1,7.172995788E-1,1.772650668E0
2.220822208E0,-7.109199741E-1,1.182609014E0,1.087666896E0
2.230859208E0,-8.177524048E-1,1.850387354E0,4.504040051E-1
2.240897208E0,-6.953057157E-1,2.182818228E0,6.907146281E-1
2.250935208E0,-2.498770333E-1,1.830674051E0,2.039903507E0
2.260972208E0,4.654703429E-1,8.286837745E-1,3.932733167E0
2.271010208E0,1.137282129E0,-3.303480962E-1,5.765825334E0
2.281048208E0,1.400651247E0,-1.221138949E0,6.851216494E0
2.291085208E0,1.126763938E0,-1.728501266E0,6.137798297E0
2.301123208E0,2.494892167E-1,-1.649712374E0,3.817006245E0
2.311160208E0,-6.675853819E-1,-9.609358057E-1,1.277131301E0
2.321198208E0,-1.174867958E0,-2.231358889E-1,-4.143313622E-1
2.331236208E0,-1.508330793E0,4.018984276E-1,-1.175380978E0
2.341273208E0,-1.748936408E0,4.366899455E-1,-1.360632464E0
2.351311208E0,-1.689508816E0,-3.146445215E-2,-1.001718673E0
2.361349208E0,-1.630445360E0,-5.294408190E-1,-6.293317276E-1
2.371386208E0,-1.522342476E0,-9.805385962E-1,-3.028489333E-1
2.381424208E0,-1.247625959E0,-1.103772467E0,-5.881071031E-2
2.391461208E0,-9.492208361E-1,-9.193507004E-1,9.360807538E-3
2.401499208E0,-8.312033397E-1,-6.789321962E-1,3.473129153E-2
2.411536958E0,-8.234934204E-1,-4.853472582E-1,7.647748768E-2
